* Measurement data measured by REW V5.19
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Aug 23 19:25:22, Aug 23 19:25:38, Aug 23 19:25:53
* Dated: Aug 23, 2020 7:26:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from Aug 23 19:25:22, Aug 23 19:25:38, Aug 23 19:25:53
* Measurement: avg_left
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
371.338 71.516 0
371.704 71.505 0
372.070 71.495 0
372.437 71.485 0
372.803 71.476 0
373.169 71.467 0
373.535 71.458 0
373.901 71.450 0
374.268 71.442 0
374.634 71.435 0
375.000 71.428 0
375.366 71.422 0
375.732 71.416 0
376.099 71.410 0
376.465 71.404 0
376.831 71.398 0
377.197 71.393 0
377.563 71.388 0
377.930 71.383 0
378.296 71.378 0
378.662 71.373 0
379.028 71.368 0
379.395 71.363 0
379.761 71.358 0
380.127 71.352 0
380.493 71.346 0
380.859 71.340 0
381.226 71.334 0
381.592 71.327 0
381.958 71.320 0
382.324 71.312 0
382.690 71.304 0
383.057 71.295 0
383.423 71.285 0
383.789 71.275 0
384.155 71.264 0
384.521 71.252 0
384.888 71.239 0
385.254 71.225 0
385.620 71.211 0
385.986 71.195 0
386.353 71.179 0
386.719 71.161 0
387.085 71.143 0
387.451 71.123 0
387.817 71.102 0
388.184 71.080 0
388.550 71.057 0
388.916 71.033 0
389.282 71.007 0
389.648 70.981 0
390.015 70.953 0
390.381 70.924 0
390.747 70.894 0
391.113 70.862 0
391.479 70.830 0
391.846 70.796 0
392.212 70.761 0
392.578 70.725 0
392.944 70.687 0
393.311 70.649 0
393.677 70.609 0
394.043 70.569 0
394.409 70.527 0
394.775 70.484 0
395.142 70.440 0
395.508 70.395 0
395.874 70.349 0
396.240 70.303 0
396.606 70.255 0
396.973 70.206 0
397.339 70.157 0
397.705 70.106 0
398.071 70.055 0
398.438 70.004 0
398.804 69.951 0
399.170 69.898 0
399.536 69.844 0
399.902 69.790 0
400.269 69.735 0
400.635 69.680 0
401.001 69.624 0
401.367 69.568 0
401.733 69.511 0
402.100 69.455 0
402.466 69.397 0
402.832 69.340 0
403.198 69.283 0
403.564 69.225 0
403.931 69.168 0
404.297 69.110 0
404.663 69.052 0
405.029 68.995 0
405.396 68.937 0
405.762 68.880 0
406.128 68.823 0
406.494 68.766 0
406.860 68.710 0
407.227 68.653 0
407.593 68.598 0
407.959 68.542 0
408.325 68.487 0
408.691 68.433 0
409.058 68.379 0
409.424 68.326 0
409.790 68.273 0
410.156 68.221 0
410.522 68.170 0
410.889 68.120 0
411.255 68.070 0
411.621 68.021 0
411.987 67.973 0
412.354 67.926 0
412.720 67.880 0
413.086 67.835 0
413.452 67.791 0
413.818 67.748 0
414.185 67.706 0
414.551 67.665 0
414.917 67.625 0
415.283 67.586 0
415.649 67.549 0
416.016 67.512 0
416.382 67.477 0
416.748 67.443 0
417.114 67.411 0
417.480 67.380 0
417.847 67.350 0
418.213 67.321 0
418.579 67.294 0
418.945 67.268 0
419.312 67.243 0
419.678 67.220 0
420.044 67.199 0
420.410 67.178 0
420.776 67.160 0
421.143 67.142 0
421.509 67.126 0
421.875 67.112 0
422.241 67.099 0
422.607 67.087 0
422.974 67.077 0
423.340 67.069 0
423.706 67.062 0
424.072 67.056 0
424.438 67.052 0
424.805 67.049 0
425.171 67.048 0
425.537 67.048 0
425.903 67.050 0
426.270 67.054 0
426.636 67.058 0
427.002 67.065 0
427.368 67.072 0
427.734 67.082 0
428.101 67.092 0
428.467 67.104 0
428.833 67.118 0
429.199 67.132 0
429.565 67.149 0
429.932 67.166 0
430.298 67.185 0
430.664 67.205 0
431.030 67.227 0
431.396 67.250 0
431.763 67.274 0
432.129 67.300 0
432.495 67.326 0
432.861 67.355 0
433.228 67.384 0
433.594 67.414 0
433.960 67.446 0
434.326 67.479 0
434.692 67.513 0
435.059 67.548 0
435.425 67.584 0
435.791 67.621 0
436.157 67.659 0
436.523 67.698 0
436.890 67.739 0
437.256 67.780 0
437.622 67.822 0
437.988 67.865 0
438.354 67.909 0
438.721 67.954 0
439.087 68.000 0
439.453 68.047 0
439.819 68.094 0
440.186 68.142 0
440.552 68.191 0
440.918 68.241 0
441.284 68.291 0
441.650 68.343 0
442.017 68.394 0
442.383 68.447 0
442.749 68.500 0
443.115 68.554 0
443.481 68.608 0
443.848 68.663 0
444.214 68.718 0
444.580 68.774 0
444.946 68.830 0
445.312 68.887 0
445.679 68.944 0
446.045 69.001 0
446.411 69.059 0
446.777 69.118 0
447.144 69.176 0
447.510 69.235 0
447.876 69.295 0
448.242 69.354 0
448.608 69.414 0
448.975 69.474 0
449.341 69.534 0
449.707 69.594 0
450.073 69.655 0
450.439 69.716 0
450.806 69.776 0
451.172 69.837 0
451.538 69.898 0
451.904 69.959 0
452.271 70.020 0
452.637 70.081 0
453.003 70.143 0
453.369 70.204 0
453.735 70.265 0
454.102 70.326 0
454.468 70.387 0
454.834 70.447 0
455.200 70.508 0
455.566 70.569 0
455.933 70.629 0
456.299 70.689 0
456.665 70.749 0
457.031 70.809 0
457.397 70.869 0
457.764 70.928 0
458.130 70.988 0
458.496 71.047 0
458.862 71.105 0
459.229 71.164 0
459.595 71.222 0
459.961 71.280 0
460.327 71.337 0
460.693 71.395 0
461.060 71.451 0
461.426 71.508 0
461.792 71.564 0
462.158 71.620 0
462.524 71.675 0
462.891 71.730 0
463.257 71.785 0
463.623 71.839 0
463.989 71.893 0
464.355 71.946 0
464.722 71.999 0
465.088 72.052 0
465.454 72.104 0
465.820 72.155 0
466.187 72.207 0
466.553 72.257 0
466.919 72.307 0
467.285 72.357 0
467.651 72.406 0
468.018 72.455 0
468.384 72.503 0
468.750 72.551 0
469.116 72.598 0
469.482 72.645 0
469.849 72.691 0
470.215 72.737 0
470.581 72.782 0
470.947 72.827 0
471.313 72.871 0
471.680 72.914 0
472.046 72.957 0
472.412 73.000 0
472.778 73.042 0
473.145 73.084 0
473.511 73.125 0
473.877 73.165 0
474.243 73.205 0
474.609 73.244 0
474.976 73.283 0
475.342 73.321 0
475.708 73.359 0
476.074 73.396 0
476.440 73.433 0
476.807 73.469 0
477.173 73.505 0
477.539 73.540 0
477.905 73.575 0
478.271 73.609 0
478.638 73.643 0
479.004 73.676 0
479.370 73.708 0
479.736 73.740 0
480.103 73.772 0
480.469 73.803 0
480.835 73.834 0
481.201 73.864 0
481.567 73.894 0
481.934 73.923 0
