* Measurement data measured by REW V5.19
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Aug 23 19:23:20, Aug 23 19:23:40, Aug 23 19:24:07
* Dated: Aug 23, 2020 7:24:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from Aug 23 19:23:20, Aug 23 19:23:40, Aug 23 19:24:07
* Measurement: avg_right
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
418.579 75.849 0
418.945 75.827 0
419.312 75.805 0
419.678 75.781 0
420.044 75.756 0
420.410 75.731 0
420.776 75.704 0
421.143 75.676 0
421.509 75.647 0
421.875 75.618 0
422.241 75.587 0
422.607 75.556 0
422.974 75.523 0
423.340 75.490 0
423.706 75.456 0
424.072 75.422 0
424.438 75.386 0
424.805 75.350 0
425.171 75.313 0
425.537 75.276 0
425.903 75.238 0
426.270 75.199 0
426.636 75.160 0
427.002 75.120 0
427.368 75.080 0
427.734 75.039 0
428.101 74.998 0
428.467 74.956 0
428.833 74.914 0
429.199 74.871 0
429.565 74.828 0
429.932 74.785 0
430.298 74.741 0
430.664 74.697 0
431.030 74.653 0
431.396 74.608 0
431.763 74.564 0
432.129 74.519 0
432.495 74.473 0
432.861 74.428 0
433.228 74.382 0
433.594 74.337 0
433.960 74.291 0
434.326 74.245 0
434.692 74.199 0
435.059 74.153 0
435.425 74.106 0
435.791 74.060 0
436.157 74.014 0
436.523 73.967 0
436.890 73.921 0
437.256 73.874 0
437.622 73.828 0
437.988 73.781 0
438.354 73.735 0
438.721 73.688 0
439.087 73.641 0
439.453 73.595 0
439.819 73.548 0
440.186 73.502 0
440.552 73.455 0
440.918 73.409 0
441.284 73.363 0
441.650 73.316 0
442.017 73.270 0
442.383 73.224 0
442.749 73.178 0
443.115 73.131 0
443.481 73.085 0
443.848 73.040 0
444.214 72.994 0
444.580 72.948 0
444.946 72.902 0
445.312 72.857 0
445.679 72.811 0
446.045 72.766 0
446.411 72.721 0
446.777 72.676 0
447.144 72.631 0
447.510 72.586 0
447.876 72.542 0
448.242 72.498 0
448.608 72.454 0
448.975 72.410 0
449.341 72.366 0
449.707 72.323 0
450.073 72.280 0
450.439 72.237 0
450.806 72.194 0
451.172 72.152 0
451.538 72.110 0
451.904 72.069 0
452.271 72.028 0
452.637 71.987 0
453.003 71.947 0
453.369 71.907 0
453.735 71.867 0
454.102 71.828 0
454.468 71.790 0
454.834 71.752 0
455.200 71.715 0
455.566 71.678 0
455.933 71.642 0
456.299 71.607 0
456.665 71.572 0
457.031 71.538 0
457.397 71.504 0
457.764 71.471 0
458.130 71.439 0
458.496 71.408 0
458.862 71.378 0
459.229 71.348 0
459.595 71.320 0
459.961 71.292 0
460.327 71.265 0
460.693 71.239 0
461.060 71.214 0
461.426 71.190 0
461.792 71.166 0
462.158 71.144 0
462.524 71.123 0
462.891 71.103 0
463.257 71.084 0
463.623 71.066 0
463.989 71.049 0
464.355 71.034 0
464.722 71.019 0
465.088 71.006 0
465.454 70.993 0
465.820 70.982 0
466.187 70.972 0
466.553 70.963 0
466.919 70.956 0
467.285 70.949 0
467.651 70.944 0
468.018 70.940 0
468.384 70.937 0
468.750 70.935 0
469.116 70.934 0
469.482 70.935 0
469.849 70.937 0
470.215 70.940 0
470.581 70.944 0
470.947 70.949 0
471.313 70.956 0
471.680 70.963 0
472.046 70.972 0
472.412 70.982 0
472.778 70.993 0
473.145 71.005 0
473.511 71.018 0
473.877 71.032 0
474.243 71.047 0
474.609 71.064 0
474.976 71.081 0
475.342 71.099 0
475.708 71.118 0
476.074 71.139 0
476.440 71.160 0
476.807 71.182 0
477.173 71.205 0
477.539 71.229 0
477.905 71.254 0
478.271 71.279 0
478.638 71.306 0
479.004 71.333 0
479.370 71.361 0
479.736 71.389 0
480.103 71.419 0
480.469 71.449 0
480.835 71.479 0
481.201 71.511 0
481.567 71.543 0
481.934 71.575 0
